0,1,2,3,4,5
1,17,16,34,18,2
0,2,18,17,35,19
3,1,19,18,36,20
19,2,4,20,18,21
3,21,20,5,19,38
6,22,21,4,23,39
22,5,23,7,40,21
8,23,6,24,22,41
25,24,9,7,26,42
26,25,8,10,43,24
11,27,26,9,28,44
27,10,12,28,29,45
11,28,29,13,27,46
14,30,29,12,31,28
30,13,31,15,48,29
32,31,14,30,49,50
0,33,17,34,35,52
0,34,18,16,35,1
17,1,2,19,35,36
3,20,36,2,37,18
19,37,21,38,4,3
20,4,39,38,5,22
6,23,5,40,21,39
40,22,41,6,7,24
42,41,7,8,25,23
42,26,24,43,9,8
25,43,44,9,10,27
28,11,45,10,44,26
29,27,45,12,46,11
46,28,47,12,30,13
31,14,48,13,47,29
30,48,49,14,32,15
50,15,49,31,48,68
51,16,34,52,17,53
53,35,33,52,17,16
17,36,34,18,54,53
55,37,19,18,54,35
20,38,55,19,56,36
37,56,20,39,21,57
58,57,38,21,22,40
41,23,22,59,39,58
59,40,42,24,60,23
60,41,25,24,43,61
42,61,62,44,25,26
43,63,62,26,45,27
46,28,27,64,63,44
64,45,47,29,28,65
65,46,29,66,48,30
31,49,67,30,66,47
48,67,31,68,50,32
32,69,68,49,67,31
52,33,70,71,34,72
51,71,53,72,34,33
54,35,34,72,73,52
35,36,74,73,53,55
74,54,75,56,36,37
57,38,75,37,76,55
76,56,77,38,39,58
77,57,39,78,59,40
41,60,40,79,78,58
79,59,42,41,61,80
81,62,60,80,43,42
63,43,81,82,44,61
62,44,83,82,64,45
65,46,84,45,63,83
84,47,64,66,85,46
65,85,86,47,67,48
49,68,87,48,66,86
67,87,88,49,50,69
50,89,88,68,87,109
51,71,91,90,92,52
52,72,92,91,51,70
71,92,93,73,52,53
74,53,54,72,93,94
95,55,54,94,73,75
96,74,76,95,56,55
77,57,97,75,96,56
76,97,58,57,78,98
58,77,99,98,59,79
60,80,59,100,78,99
79,100,101,61,81,60
102,101,82,80,62,61
103,81,83,63,62,102
63,82,104,103,64,84
85,65,105,64,83,104
66,84,86,105,65,106
85,106,66,107,87,67
68,88,108,67,86,107
108,87,109,68,69,89
69,110,109,88,108,131
111,112,70,91,134,113
113,70,71,92,112,90
93,72,71,91,113,114
114,92,73,115,72,94
