model,seed,heldout_scale,epoch,train_loss,val_accuracy,lr
TemporalResNet18Small,42,2.0,1,0.8515361117966035,0.30158730158730157,0.0002997040092642407
TemporalResNet18Small,42,2.0,2,0.2625748962163925,0.9338624338624338,0.0002988172051971717
TemporalResNet18Small,42,2.0,3,0.16432680277263417,0.9259259259259259,0.0002973430876093033
TemporalResNet18Small,42,2.0,4,0.0950554732561988,0.9841269841269841,0.00029528747416929463
TemporalResNet18Small,42,2.0,5,0.08410521251532961,0.9735449735449735,0.00029265847744427303
TemporalResNet18Small,42,2.0,6,0.0826395228779053,0.9735449735449735,0.0002894664728832377
TemporalResNet18Small,42,2.0,7,0.061970479128991854,0.9761904761904762,0.000285724057869903
TemporalResNet18Small,42,2.0,8,0.05359564776368001,0.9735449735449735,0.00028144600200657956
TemporalResNet18Small,42,2.0,9,0.047570645247640854,0.9841269841269841,0.0002766491888253023
TemporalResNet18Small,42,2.0,10,0.042614025382242876,0.9814814814814815,0.00027135254915624217
TemporalResNet18Small,42,2.0,11,0.05101967689594911,0.9761904761904762,0.0002655769864163684
TemporalResNet18Small,42,2.0,12,0.04193867493064746,0.9814814814814815,0.0002593452941132117
TemporalResNet18Small,42,2.0,13,0.04545061697375358,0.9841269841269841,0.0002526820658893033
TemporalResNet18Small,42,2.0,14,0.048732008620658344,0.9814814814814815,0.0002456135984623034
TemporalResNet18Small,42,3.0,1,0.7429223064990604,0.1693121693121693,0.0002997040092642407
TemporalResNet18Small,42,3.0,2,0.15185857125941446,0.9814814814814815,0.0002988172051971717
TemporalResNet18Small,42,3.0,3,0.06861668323878856,0.9867724867724867,0.0002973430876093033
TemporalResNet18Small,42,3.0,4,0.04557928177254165,1.0,0.00029528747416929463
TemporalResNet18Small,42,3.0,5,0.012155138141037348,1.0,0.00029265847744427303
TemporalResNet18Small,42,3.0,6,0.006631283202509889,1.0,0.0002894664728832377
TemporalResNet18Small,42,3.0,7,0.0009540957604151438,1.0,0.000285724057869903
TemporalResNet18Small,42,3.0,8,0.0004129485074800494,1.0,0.00028144600200657956
TemporalResNet18Small,42,3.0,9,0.00019914642732200103,1.0,0.0002766491888253023
TemporalResNet18Small,42,3.0,10,0.0001440556141674546,1.0,0.00027135254915624217
TemporalResNet18Small,42,3.0,11,0.00013989276211599216,1.0,0.0002655769864163684
TemporalResNet18Small,42,3.0,12,0.00012919668027761336,1.0,0.0002593452941132117
TemporalResNet18Small,42,3.0,13,0.00011148158313624342,1.0,0.0002526820658893033
TemporalResNet18Small,42,3.0,14,0.00011566166700932252,1.0,0.0002456135984623034
TemporalResNet18Small,42,4.0,1,0.9144353927934871,0.31746031746031744,0.0002997040092642407
TemporalResNet18Small,42,4.0,2,0.31201642444905114,0.8835978835978836,0.0002988172051971717
TemporalResNet18Small,42,4.0,3,0.17688500596319928,0.9338624338624338,0.0002973430876093033
TemporalResNet18Small,42,4.0,4,0.12488275333581601,0.9417989417989417,0.00029528747416929463
TemporalResNet18Small,42,4.0,5,0.08813076236230485,0.9682539682539683,0.00029265847744427303
TemporalResNet18Small,42,4.0,6,0.08372359829680885,0.9259259259259259,0.0002894664728832377
TemporalResNet18Small,42,4.0,7,0.09171518694390268,0.9417989417989417,0.000285724057869903
TemporalResNet18Small,42,4.0,8,0.06985063798835173,0.9735449735449735,0.00028144600200657956
TemporalResNet18Small,42,4.0,9,0.05250610249555286,0.955026455026455,0.0002766491888253023
TemporalResNet18Small,42,4.0,10,0.05625471391934244,0.9656084656084656,0.00027135254915624217
TemporalResNet18Small,42,4.0,11,0.04609250375891433,0.9735449735449735,0.0002655769864163684
TemporalResNet18Small,42,4.0,12,0.04547788897145759,0.9761904761904762,0.0002593452941132117
TemporalResNet18Small,42,4.0,13,0.04336877421626602,0.9708994708994709,0.0002526820658893033
TemporalResNet18Small,42,4.0,14,0.03448082529597313,0.9735449735449735,0.0002456135984623034
TemporalResNet18Small,42,4.0,15,0.06652138900758206,0.9656084656084656,0.00023816778784387096
TemporalResNet18Small,42,4.0,16,0.045270428244668225,0.9708994708994709,0.00023037401924684944
TemporalResNet18Small,42,4.0,17,0.03133616937403156,0.9735449735449735,0.00022226305111525726
TemporalResNet18Small,42,4.0,18,0.03635784614016302,0.9735449735449735,0.00021386689373476087
TemporalResNet18Small,42,4.0,19,0.03806750216309036,0.9682539682539683,0.00020521868290270169
TemporalResNet18Small,42,4.0,20,0.03498567849387387,0.9656084656084656,0.00019635254915624208
